"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"020102","2","2.1","2.1.2","AG_PRD_FIESMS_UB","SD                                                                          Estimated prevalence of moderate or severe food insecurity in the population (upper bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.60","NA, 49","21.20","NA, 49","",""
"020102","2","2.1","2.1.2","AG_PRD_FIESS","+                                                                          Estimated prevalence of severe food insecurity in the population","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.70","NA, 49","7.70","NA, 49","",""
"020102","2","2.1","2.1.2","AG_PRD_FIESS_LB","+                                                                          Estimated prevalence of severe food insecurity in the population (lower bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.00","NA, 49","7.00","NA, 49","",""
"020102","2","2.1","2.1.2","AG_PRD_FIESS_UB","+                                                                          Estimated prevalence of severe food insecurity in the population (upper bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.40","NA, 49","8.40","NA, 49","",""
"020201","2","2.2","2.2.1","SH_STA_STNT","SD                                                                          Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","32.70","NA, 80","","","","","","","","","29.40","NA, 80","","","","","","","","","26.20","NA, 80","","","","","","","23.80","NA, 80","","","",""
"020201","2","2.2","2.2.1","SH_STA_STNT_LB","SD                                                                          Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years (lower bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","31.00","NA, 80","","","","","","","","","27.70","NA, 80","","","","","","","","","24.40","NA, 80","","","","","","","21.90","NA, 80","","","",""
"020201","2","2.2","2.2.1","SH_STA_STNT_UB","SD                                                                          Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years (upper bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","34.30","NA, 80","","","","","","","","","31.10","NA, 80","","","","","","","","","28.00","NA, 80","","","","","","","25.70","NA, 80","","","",""
"020201","2","2.2","2.2.1","SH_STA_STNTN","+                                                                          Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","01000000","World","False","False","False","Annual","Number (Millions)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","198.00","NA, 80","","","","","","","","","182.00","NA, 80","","","","","","","","","168.70","NA, 80","","","","","","","158.60","NA, 80","","","",""
"020201","2","2.2","2.2.1","SH_STA_STNTN_LB","+                                                                          Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years (lower bound)","01000000","World","False","False","False","Annual","Number (Millions)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","188.00","NA, 80","","","","","","","","","171.50","NA, 80","","","","","","","","","157.20","NA, 80","","","","","","","146.10","NA, 80","","","",""
"020201","2","2.2","2.2.1","SH_STA_STNTN_UB","+                                                                          Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years (upper bound)","01000000","World","False","False","False","Annual","Number (Millions)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","208.10","NA, 80","","","","","","","","","192.40","NA, 80","","","","","","","","","180.20","NA, 80","","","","","","","171.10","NA, 80","","","",""
