"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"010301","1","1.3","1.3.1","SI_COV_LMKT","SD                                                                          Proportion of the population covered by labour market programs","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.22","NA","","","","","7.16","NA","","","5.60","NA","5.90","NA","","","","","","","",""
"010301","1","1.3","1.3.1","SI_COV_LMKTPQ","SD                                                                          Proportion of the poorest quintile population covered by labour market programs","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.30","NA","","","","","6.09","NA","","","5.35","NA","5.95","NA","","","","","","","",""
"010301","1","1.3","1.3.1","SI_COV_SOCAST","SD                                                                          Proportion of the population covered by social assistance programs","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.29","NA","","","","","17.56","NA","","","18.65","NA","19.53","NA","","","","","","","",""
"010301","1","1.3","1.3.1","SI_COV_SOCASTPQ","SD                                                                          Proportion of the poorest quintile population covered by social assistance programs","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.24","NA","","","","","22.82","NA","","","24.57","NA","24.91","NA","","","","","","","",""
"010301","1","1.3","1.3.1","SI_COV_SOCINS","SD                                                                          Proportion of the population covered by social insurance programs","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.10","NA","","","","","27.95","NA","","","28.31","NA","28.34","NA","","","","","","","",""
"010301","1","1.3","1.3.1","SI_COV_SOCINSPQ","SD                                                                          Proportion of the poorest quintile population covered by social insurance programs","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.55","NA","","","","","8.27","NA","","","9.77","NA","9.72","NA","","","","","","","",""
"010301","1","1.3","1.3.1","SI_COV_UEMP","SD                                                                          Proportion of unemployed receiving unemployment benefits","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.10","CA, 131, 184","","","6.20","CA, 131, 184","8.00","CA, 131, 184","7.20","CA, 131, 184","7.80","CA, 131, 184","","","","","","","","","","","",""
"010503","1","1.5","1.5.3","SG_DSR_NLRRS","+                                                                          National and local disaster risk reduction strategies","01020310","Brazil","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 26, 174","","","0.00","C, 27, 174","",""
"020101","2","2.1","2.1.1","SN_ITK_DEFC","SD                                                                          Prevalence of undernourishment","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.30","E, 31, 140","11.20","E, 32, 140","9.60","E, 33, 140","7.80","E, 34, 140","6.10","E, 35, 140","<5.0","E, 36, 140","<5.0","E, 37, 140","<5.0","E, 38, 140","<5.0","E, 39, 140","<5.0","E, 40, 140","<5.0","E, 41, 140","<5.0","E, 42, 140","<5.0","E, 43, 140","<5.0","E, 44, 140, 208","<5.0","E, 45, 140, 208","<5.0","E, 46, 140, 208"
"020201","2","2.2","2.2.1","SH_STA_STNT","SD                                                                          Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","19.40","CA, 28, 125","","","","","","","","","","","","","13.50","CA, 29, 126","","","","","","","","","","","","","","","","","","","","","7.10","CA, 30, 127","","","","","","","","","","","","","","","","","",""
"020201","2","2.2","2.2.1","SH_STA_STNTN","+                                                                          Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","01020310","Brazil","False","False","False","Annual","Number (Thousands)","Total","Under 5","Total","Not available","","","","","","","3,508.85","CA, 28, 125","","","","","","","","","","","","","2,286.90","CA, 29, 126","","","","","","","","","","","","","","","","","","","","","1,189.33","CA, 30, 127","","","","","","","","","","","","","","","","","",""
"020202","2","2.2","2.2.2","SH_STA_WAST","SD                                                                          Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","2.80","CA, 29, 126","","","","","","","","","","","","","","","","","","","","","1.60","CA, 30, 127","","","","","","","","","","","","","","","","","",""
"020202","2","2.2","2.2.2","SH_STA_WASTN","+                                                                          Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","01020310","Brazil","False","False","False","Annual","Number (Thousands)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","474.32","CA, 29, 126","","","","","","","","","","","","","","","","","","","","","268.02","CA, 30, 127","","","","","","","","","","","","","","","","","",""
"020202","2","2.2","2.2.2","SN_STA_OVWGT","SD                                                                          Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","6.60","CA, 29, 141","","","","","","","","","","","","","","","","","","","","","7.30","CA, 30, 142","","","","","","","","","","","","","","","","","",""
"020202","2","2.2","2.2.2","SN_STA_OVWGTN","+                                                                          Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years","01020310","Brazil","False","False","False","Annual","Number (Thousands)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","1,118.04","CA, 29, 141","","","","","","","","","","","","","","","","","","","","","1,222.83","CA, 30, 142","","","","","","","","","","","","","","","","","",""
"020502","2","2.5","2.5.2","ER_NRK_LBRED","SD                                                                          Proportion of local breeds classified as being at risk of extinction","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","C, 79, 159"
"020502","2","2.5","2.5.2","ER_NRK_LBREDN","+                                                                          Number of local breeds classified as being at risk of extinction","01020310","Brazil","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","C, 79, 159"
"020502","2","2.5","2.5.2","ER_RSK_LBRED","SD                                                                          Proportion of local breeds classified as being not-at-risk of extinction","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","C, 79, 159"
"020502","2","2.5","2.5.2","ER_RSK_LBREDN","+                                                                          Number of local breeds classified as being not-at-risk of extinction","01020310","Brazil","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","C, 79, 159"
